age,total,male,female
0,71.38,66.37,76.25
1,70.94,65.95,75.79
2,69.99,64.99,74.84
3,69.01,64.02,73.86
4,68.03,63.03,72.88
5,67.05,62.05,71.89
6,66.06,61.07,70.90
7,65.07,60.08,69.92
8,64.08,59.09,68.93
9,63.10,58.10,67.94
10,62.11,57.12,66.95
11,61.12,56.13,65.96
12,60.14,55.15,64.98
13,59.15,54.16,63.99
14,58.17,53.18,63.00
15,57.18,52.20,62.02
16,56.21,51.22,61.04
17,55.23,50.25,60.06
18,54.27,49.30,59.08
19,53.31,48.35,58.10
20,52.35,47.40,57.12
21,51.39,46.46,56.14
22,50.44,45.52,55.17
23,49.48,44.59,54.19
24,48.54,43.66,53.22
25,47.59,42.73,52.25
26,46.64,41.81,51.27
27,45.71,40.90,50.31
28,44.78,39.99,49.34
29,43.85,39.09,48.38
30,42.93,38.19,47.42
31,42.01,37.3,46.47
32,41.11,36.43,45.52
33,40.2,35.55,44.58
34,39.31,34.69,43.63
35,38.42,33.84,42.69
36,37.54,33.01,41.76
37,36.67,32.17,40.83
38,35.81,31.36,39.9
39,34.95,30.55,38.98
40,34.09,29.74,38.06
41,33.25,28.94,37.15
42,32.4,28.15,36.23
43,31.56,27.35,35.32
44,30.72,26.57,34.42
45,29.89,25.78,33.52
46,29.06,25,32.62
47,28.23,24.23,31.73
48,27.42,23.47,30.84
49,26.61,22.73,29.94
50,25.81,21.98,29.06
51,25.02,21.26,28.18
52,24.23,20.54,27.3
53,23.45,19.83,26.42
54,22.67,19.12,25.56
55,21.91,18.44,24.69
56,21.15,17.77,23.84
57,20.41,17.11,22.99
58,19.68,16.47,22.16
59,18.95,15.83,21.33
60,18.23,15.2,20.5
61,17.54,14.63,19.69
62,16.87,14.06,18.9
63,16.19,13.5,18.1
64,15.54,12.97,17.33
65,14.89,12.43,16.56
66,14.25,11.91,15.8
67,13.65,11.44,15.08
68,13.01,10.9,14.33
69,12.43,10.46,13.64
70,11.8,9.93,12.91
71,11.21,9.47,12.22
72,10.66,9.06,11.57
73,10.08,8.62,10.9
74,9.55,8.21,10.27
75,9.01,7.79,9.65
76,8.5,7.42,9.06
77,8.02,7.06,8.5
78,7.55,6.73,7.96
79,7.12,6.42,7.46
80,6.7,6.11,6.98
81,6.33,5.84,6.55
82,5.93,5.53,6.1
83,5.56,5.27,5.69
84,5.23,5.05,5.33
85,4.9,4.83,4.96
86,4.62,4.63,4.64
87,4.35,4.45,4.34
88,4.09,4.27,4.05
89,3.85,4.09,3.78
90,3.62,3.93,3.53
91,3.4,3.77,3.29
92,3.19,3.61,3.07
93,3,3.46,2.86
94,2.81,3.31,2.67
95,2.63,3.15,2.48
96,2.46,2.99,2.3
97,2.29,2.82,2.14
98,2.13,2.64,1.97
99,1.96,2.43,1.81
100,1.77,2.17,1.63
