"year","month","temperature"
1812,"January","NA"
1813,"January","-9.6"
1814,"January","-2.4"
1815,"January","-10.8"
1816,"January","-2.6"
1817,"January","-1.9"
1818,"January","-3.1"
1819,"January","-2.4"
1820,"January",-7
1821,"January","-2.1"
1822,"January","-2.6"
1823,"January","-12.1"
1824,"January","-3.5"
1825,"January","-3.3"
1826,"January","-8.9"
1827,"January",-2
1828,"January","-11.2"
1829,"January","-11.6"
1830,"January","-11.5"
1831,"January","-8.6"
1832,"January","-6.8"
1833,"January","-7.7"
1834,"January","-5.6"
1835,"January","-4.8"
1836,"January","-6.6"
1837,"January","-5.8"
1838,"January","-15.1"
1839,"January","-5.9"
1840,"January","-4.8"
1841,"January","-6.8"
1842,"January","-11.4"
1843,"January","-2.3"
1844,"January","-5.8"
1845,"January","-3.7"
1847,"January","-9.8"
1851,"January","NA"
1852,"January","-2.9"
1853,"January","-2.1"
1854,"January",-7
1855,"January","-8.7"
1856,"January","-1.7"
1857,"January","-3.6"
1858,"January","-7.4"
1859,"January","-3.8"
1860,"January","-3.3"
1861,"January","-14.6"
1862,"January","-12.1"
1863,"January","-2.9"
1864,"January","-7.9"
1865,"January","-3.5"
1866,"January","-1.9"
1867,"January","-2.2"
1868,"January","-7.5"
1869,"January","-8.8"
1870,"January","-4.1"
1871,"January",-10
1872,"January","-3.6"
1873,"January","-1.2"
1874,"January","-3.6"
1875,"January","-5.9"
1876,"January","-9.3"
1877,"January",-8
1878,"January","-7.5"
1879,"January","-8.4"
1880,"January","-9.2"
1881,"January","-9.9"
1882,"January","-1.4"
1883,"January","-10.2"
1884,"January","-3.5"
1885,"January","-6.3"
1886,"January",-4
1887,"January","-4.3"
1888,"January","-8.5"
1889,"January","-9.4"
1890,"January",-4
1891,"January",-9
1892,"January","-7.6"
1893,"January","-14.6"
1894,"January","-8.1"
1895,"January",-2
1896,"January","-10.7"
1897,"January","-6.9"
1898,"January","-2.9"
1899,"January","-0.3"
1900,"January","-5.1"
1901,"January","-6.2"
1902,"January","-0.4"
1903,"January","-4.6"
1904,"January","-6.8"
1905,"January","-7.4"
1906,"January","-3.7"
1907,"January","-7.7"
1908,"January","-4.7"
1909,"January","-8.9"
1910,"January","-3.4"
1911,"January","-6.3"
1912,"January","-8.8"
1913,"January","-5.1"
1914,"January",-5
1915,"January","-2.7"
1916,"January","-2.1"
1917,"January","-8.2"
1918,"January","-2.5"
1919,"January","-4.6"
1920,"January","-4.6"
1921,"January","-1.1"
1922,"January","-8.6"
1923,"January","-2.6"
1924,"January","-11.8"
1925,"January","-0.3"
1926,"January","-5.8"
1927,"January","-8.2"
1928,"January","-5.3"
1929,"January","-8.8"
1930,"January","-2.2"
1931,"January",-7
1932,"January","-2.5"
1933,"January","-9.2"
1934,"January","-6.4"
1935,"January","-9.9"
1936,"January","0.4"
1937,"January","-9.1"
1938,"January",-6
1939,"January","-2.8"
1940,"January","-11.2"
1941,"January","-9.9"
1942,"January",-15
1943,"January","-9.6"
1944,"January","-2.1"
1945,"January","-7.7"
1946,"January","-5.5"
1947,"January","-9.7"
1948,"January","-1.2"
1949,"January","-1.8"
1950,"January","-12.4"
1951,"January","-5.1"
1952,"January","-1.6"
1953,"January","-4.7"
1954,"January","-12.5"
1955,"January","-3.6"
1956,"January","-4.3"
1957,"January","-4.1"
1958,"January","-3.8"
